current,voltage,laserpower
0,0,0
0.1,8.95,0
0.2,9.12,0
0.3,9.24,0
0.4,9.33,0
0.5,9.4,0
0.6,9.45,0
0.7,9.51,0
0.8,9.56,0
0.9,9.58,0
1,9.62,0.02
1.1,9.67,0.2
1.2,9.69,0.68
1.3,9.71,1.25
1.4,9.74,1.85
1.5,9.75,2.46
1.6,9.77,3.1
1.7,9.79,3.75
1.8,9.81,4.35
1.9,9.85,5
2,9.86,5.6
2.1,9.89,6.24
2.2,9.9,6.89
2.3,9.92,7.5
2.4,9.95,8.15
2.5,9.96,8.8
2.6,9.99,9.43
2.7,10.01,10
2.8,10.03,10.7
2.9,10.05,11.3
3,10.06,11.95
3.1,10.09,12.6
3.2,10.1,13.2
3.3,10.12,13.75
3.4,10.17,14.5
3.5,10.18,15.1
3.6,10.19,15.66
3.7,10.2,16.3
3.8,10.21,16.9
3.9,10.24,17.5
4,10.24,18.1
4.1,10.27,18.7
4.2,10.28,19.3
4.3,10.29,19.9
4.4,10.32,20.5
4.5,10.33,21.1
4.6,10.34,21.65
4.7,10.35,22.2
4.8,10.37,22.8
4.9,10.39,23.4
5,10.47,24.5
5.1,10.46,25
5.2,10.47,25.4
5.3,10.47,25.9
5.4,10.48,26.4
5.5,10.49,26.98
5.6,10.51,27.48
5.7,10.53,28.03
5.8,10.53,28.57
5.9,10.55,29.11
6,10.57,29.67
